job_title,category,job_details
IT SUPPORT,Meja Bantuan & Dukungan IT (Teknologi Informasi & Komunikasi),"Deskripsi Pekerjaan :
Menginstal, mengonfigurasi, dan memelihara perangkat keras, perangkat lunak, jaringan, dan sistem IT lainnya.
Memberikan dukungan teknis kepada pengguna (troubleshooting) untuk mengatasi permasalahan perangkat keras dan perangkat lunak.
Mengelola akun pengguna dan memastikan keamanan akses ke sistem IT perusahaan.
Melakukan pemeliharaan berkala terhadap perangkat keras dan jaringan untuk memastikan kelancaran operasional.
Mengembangkan dan memperbarui dokumentasi terkait sistem dan prosedur IT.
Mendukung implementasi proyek IT baru sesuai dengan kebutuhan perusahaan.
Berkoordinasi dengan vendor eksternal terkait perbaikan atau pembaruan perangkat keras dan perangkat lunak.
Menangani backup data secara rutin dan memastikan sistem keamanan data perusahaan.
Kualifikasi:
Pendidikan minimal D3/S1 di bidang Teknologi Informasi, Sistem Informasi, Teknik Informatika, atau jurusan terkait.
Pengalaman minimal 1-2 tahun di bidang IT Support atau posisi serupa (fresh graduate dipersilakan melamar).
Memahami instalasi, konfigurasi, dan troubleshooting perangkat keras dan perangkat lunak.
Menguasai dasar-dasar jaringan (LAN, WAN, IP Address, dll.).
Memiliki pengetahuan tentang sistem operasi (Windows, MacOS, Linux, Miktotik) dan aplikasi perkantoran (Microsoft Office, Email Outlook dll.).
Memiliki kemampuan komunikasi dan analisis yang baik untuk menangani permasalahan teknis.
Mampu bekerja secara individu maupun dalam tim.
Bersedia untuk bekerja di bawah tekanan dan menangani banyak tugas secara bersamaan.
Memiliki sertifikasi di bidang IT (seperti CompTIA, CCNA, atau sejenisnya) akan menjadi nilai tambah."
IT Support,Meja Bantuan & Dukungan IT (Teknologi Informasi & Komunikasi),"Job Desc:
Mengatasi masalah teknis yang terjadi
Melakukan pengecekan terhadap permasalahan aplikasi
Melakukan pembelajaran dan sosialisasi ke Pengguna terhadap aplikasi
Melakukan control dan pemeliharaan atas fungsi dan tujuan atas aplikasi yang di implementasikan
Troubleshooting Hardware, Software maupun Jaringan
Kualifikasi:
Pendidikan minimal S1 jurusan komputer / sistem informatika/ teknik
Pengalaman di bidang yang sama minimal 2 tahun
Memiliki keterampilan komunikasi dan pemecahan masalah yang baik
Dapat mengoperasikan Microsoft Office
Penempatan Head Office Jakarta"
D3 for Data Analyst - Production Staff (CODE : PROD DA),Pengembangan & Administrasi Database (Teknologi Informasi & Komunikasi),"About the role
We are seeking a talented Data Analyst to join our dynamic Production team at PT Panasonic Gobel Energy Indonesia (PECGI) in Cibitung District, Bekasi, West Java. As a fulltime employee, you will play a crucial role in driving data-driven decision making and optimising our production processes.
What you'll be doing
Collect, analyse and interpret data from various production systems to identify trends, patterns and opportunities for improvement
Develop and maintain reporting dashboards to provide real-time visibility into production performance
Collaborate with cross-functional teams to implement data-driven solutions that enhance efficiency and productivity
Assist in the design and development of database structures to support the organisation's data management needs
Provide data-driven recommendations to management to drive strategic decision making
Stay up-to-date with the latest data analysis tools and techniques to continuously improve processes
What we're looking for
D3 qualification in a relevant field such as Information Technology, Computer Science or Data Analytics
Proficient in data analysis tools and techniques, including SQL, Excel, and data visualisation software
Strong problem-solving and critical thinking skills with the ability to interpret data and draw meaningful insights
Excellent communication and presentation skills to effectively convey data-driven insights to stakeholders
Familiarity with production processes and an understanding of manufacturing operations
Attention to detail and a keen interest in continuous improvement
What we offer
At PT Panasonic Gobel Energy Indonesia (PECGI), we are committed to providing a rewarding and fulfilling work environment. You will have the opportunity to contribute to the growth and success of our organisation, while benefiting from:
- Competitive remuneration package
- Comprehensive health and welfare benefits
- Opportunities for professional development and career advancement
- Collaborative and supportive team environment
If you are ready to embark on an exciting data-driven journey with us, we encourage you to apply now."
Admin IT,Pengembangan & Administrasi Database (Teknologi Informasi & Komunikasi),"Kualifikasi :
Pendidikan minimal S1 Semua Jurusan
Memiliki pengalaman kerja dibidang yang sama minimal 1 tahun
Mampu pengetahuan dan mengoperasikan komputer
Menguasai program MS. Office
Penempatan di Head Office, Jakarta Selatan.
Tugas-tugas Pokok :
Melakukan proses pembelian kebutuhan perangkat keras dan lunak IT
Memastikan pengadaan sesuai spesifikasi dan anggaran
Menjalin komunikasi dengan vendor untuk pengadaan barang dan jasa IT
Mengelola dan memantau penggunaan SIM Card Provider Seluler perusahaan serta melakukan aktivasi, penonaktifan dan koordinasi dengan provider untuk kebutuhan paket data atau kendala jaringan
Mencatat dan mendistribusikan tiket permintaan bantuan teknis, memantau proses penyelesaian masalah serta mendukung dokumentasi dan laporan aktivitas helpdesk
Mengelola arsip kontrak kerja sama dengan vendor, melakukan pemantauan masa berlaku kontrak, serta mengoordinasikan proses perpanjangan atau evaluasi kontrak sesuai kebutuhan
Benefit :
Gaji Pokok
Uang Makan
Uang Transport
Bonus
Tunjangan Hari Raya (THR)"
IT Support,Meja Bantuan & Dukungan IT (Teknologi Informasi & Komunikasi),"Fresh Graduate atau berpengalamanan sebagai IT Network & Infrastructure
Berpengalaman dalam pengelolaan kinerja server (pembuatan, pengaturan, dan pemantauan server)
Mampu menjaga jaringan (LAN & WAN)
Familiar dengan CCTV, Electronic Security System, VMWare Server dan SQL Server
Memiliki sertifikat Cisco CCNA lebih diutamakan
Mampu bekerja sama dengan baik dalam Team
Rajin, disiplin dan pekerja keras
Pendidikan Minimal D3 Informatika"
Business Analyst (All Level),Analis Bisnis/Sistem (Teknologi Informasi & Komunikasi),"About us:
OTO.com (automotive financing service marketplace) is a part of CarDekho SEA (India’s biggest digital automotive solutions provider). OTO.com operates the business across Indonesia and initially focuses on new car dealerships and expanding the new business unit for used car financing, re-financing, dealer inventory funding, multifinancing, and auto insurance.
Responsibilites:
Collecting, analyzing and interpreting data, and creating reports that can be used to inform the overall business strategy.
You will work with various teams to identify trends, patterns, and opportunities, and provide insights on key metrics.
Communicating findings to stakeholders and aligning data-driven strategy.
Requirements:
Bachelor's Degree in Engineering, Finance, Economics, or related field is required.
Prior experience working as a Business Analyst / Consultant or related role (1-10 years).
Proficient in MS Excel, SQL and Data Visualization Tools such as Tableau and Python.
Strong analytical and problem-solving skills.
Excellent written and verbal communication skills (English & Bahasa).
Ability to work independently and in a team environment.
Experience in the automotive industry is a plus.
Knowledge of statistical analysis, data mining, and machine learning is a plus."
Helpdesk Engineer/Technical Support Engineer,Meja Bantuan & Dukungan IT (Teknologi Informasi & Komunikasi),"About the role
Join the dynamic team at PT. Aviro Global Teknologi' as a Helpdesk Engineer/Technical Support Engineer. In this full-time role based in South Jakarta, Jakarta, you will be responsible for providing high-quality IT support and troubleshooting to our valued clients in the Information & Communication Technology industry.
What you'll be doing
Respond promptly to user requests and inquiries via phone, email, and ticketing systems
Diagnose and resolve technical issues related to hardware, software, and network connectivity
Provide end-user training and guidance on the effective use of IT systems and applications
Maintain detailed records of all support activities and resolutions
Collaborate with other IT teams to escalate and address complex problems
Contribute to the continuous improvement of our IT support processes and procedures
What we're looking for
Minimum 2 years of experience in a helpdesk or technical support role (Fresh Graduate Welcome)
Strong troubleshooting and problem-solving skills
Excellent communication and customer service skills
Proficiency in using IT support tools and ticketing systems
Working knowledge of Windows and macOS operating systems
Familiarity with common software applications and productivity tools
Ability to work in a fast-paced, team-oriented environment
Having certification will be advantage (CCNA, Microsoft, SKTTK/BNSP Certification)
Willing to be placed in the customer area (Office or Mining Area)
What we offer
At PT. Aviro Global Teknologi', we are committed to providing a supportive and inclusive work environment. We offer competitive remuneration, opportunities for career development, and a range of employee benefits to support your work-life balance.
About us
PT. Aviro Global Teknologi' is a leading provider of IT solutions and services in the Information & Communication Technology industry. Our mission is to empower our clients with innovative technology that drives business success. Join our talented team and be a part of our continued growth and success.
Apply now to become our next Helpdesk Engineer/Technical Support Engineer."
IT SUPPORT,Meja Bantuan & Dukungan IT (Teknologi Informasi & Komunikasi),"Tugas dan Tanggung Jawab :
Melakukan Instalasi dan pemeliharaan perangkat keras komputer
Memahami software dan aplikasi program
Melakukan monitoring jaringan komputer
Bertanggung jawab atas laporan IT
Bertanggung jawab atas pembayaran tagihan aplikasi
Melakukan monitoring, memecahkan permasalahan tentang permasalahan pada perangkat lunak atau perangkat keras.
Melakukan monitoring, memecahkan permasalahan tentang permasalahan internet atau jaringan.
Bekerja sama dengan berbagai departemen untuk memberikan solusi terkait permasalahan yang terkait pada IT Support, server di kantor, dan server di cloud.
Kualifikasi :
Pendidikan Minimal S1 Teknik Informatika / Teknik Komputer / Sistem Informasi
Pengalaman di sistem operasi Windows, hosting web, Sistem Operasi Linux, dan Google Apps minimal 2 tahun
Perawatan panel kontrol server ataupun piranti jaringan
Akrab dengan perangkat keras PC, Printer, Pemindai, Periferal Komputer, NAS, Mesin POS
Memahami Konektivitas PC user – Ethernet, TCP / IP, Switch, Router, Firewall, dan VPN
Berpengalaman di Server (Hardware/Software)
Kemampuan untuk mengkomunikasikan informasi teknis baik lisan maupun tulisan
Penempatan kerja di Jakarta Barat"
IT Operation & EDP Support Staff,Meja Bantuan & Dukungan IT (Teknologi Informasi & Komunikasi),"We are currently hiring for IT Operation & EDP Support Staff
Responsibilities
Responsible for application monitoring, hardware and network application.
Responsible for Start of the Day activity and End of the Day activity.
Responsible for daily back up EDD.
Qualifications
Minimum Bachelor Degree (S1) of Computer Science or IT or Information System
Fresh graduate is welcome to apply
Should be familiar with multiple operating systems like Windows, Unix and Linux, and comfortable with working in complex heterogeneous systems environment
Basic Knowledge of hardware and network application.
Preferable Fluent in English (written and spoken)
Placement in Jakarta Office or Bandung Office
Willing to work with 24/7 shifting system"
Staff Product Strategy,Strategi & Perencanaan (Konsultasi & Strategi),"Job Description :
Develop marketing plan and strategy,based on knowledge of establishment policy, nature or market and cost and markup factors to achieve sales amountand GP target every fiscal
Develop,create feasibility studies,monitor,follow up and review refrigerator proudcts development and sales
Set up the prices for new models or adjusment models based on internal and external factors
Conducts surveys to identify potential market for refrigerator products and services
Analyzes business development and consults trade journals to monitor market trends and determine market
Job Specification :
Min.Bachelor degree from reputable university with min. GPA 3,25
Experience in product development and product marketing
Proactive,target oriented, able to work under pressure with minimum supervision
Have analytical ability when confronting problems and issues in daily operation
Fluent in english
Computer literate (MsOffice,Excel,Power Poimt)
Willing to travel to all branches for market survey"
